host,ioc,user,description
softioc4, gmt, sysuser, 'GMT Wiener HV'
softioc4, gasread, sysuser, 'Gas monitoring'
softioc4, caenreset, sysuser, 'Crate control for TPC anode CAEN'
softioc4, east, sysuser, 'BEMC east power supplies'
softioc4, tpc_caen_hv, sysuser, 'TPC anode CAEN control'
softioc4, west, sysuser, 'BEMC west power supplies'
softioc4, hygrometer, sysuser, 'DAQ room hygrometer'
softioc4, tpcAirHygro, sysuser, 'TPC blower hygrometer'
softioc4, platform_hygrometer, sysuser, 'Platform hygrometer'
bermuda, BBClecroy, sysuser, 'Lecroy HV for BBC/VPD/ZDC'
bermuda, tpc-grid-leak, sysuser, 'TPC grid leak Wiener'
bermuda, tpc-blower, sysuser, 'TPC and eTOF blower'
barbados2, PUTSQL, sysuser, 'TPC data to SQL'
barbados2, TEMPERATURE, sysuser, 'DAQ hygrometer data to SQL'
barbados2, TOFSQL, sysuser, 'TOF data to SQL'
barbados2, TPCHVSQL, sysuser, 'TPC anode data to SQL'
barbados2, epdalarm, sysuser, 'EPD monitor for alarm handler'
barbados2, AUTORAMP, sysuser, 'TPC cathode autoramp'
barbados2, WAHSQL, sysuser, 'Platform hygrometer data to SQL'
sc2, Magnet, sysuser, 'Magnet and scalers with CDEV'
sc, SlowCweb, sysuser, 'Main webpage'
sc, iocmon, sysuser, 'IOC monitor'
sc, caenMonit, sysuser, 'TPC anode voltages and currents'
sc, caenLive, sysuser, 'TPC anode CAEN link monitor'
sc, cassandra, sysuser, 'Cassandra archiver server'
sc, cassArchiver, sysuser, 'PV archiver'
sc, webIocMon, sysuser, 'Web page for IOC monitor'
tofp, HVIOC, tof, 'TOF high voltage'
tofp, West2, tof, 'TOF low voltage west 2'
tofp, West4, tof, 'TOF low voltage west 4'
tofp, East3, tof, 'TOF low voltage east 3'
tofp, East5, tof, 'TOF low voltage east 5'
tofp, West1, tof, 'TOF low voltage west 1'
tofp, THUB, tof, 'TOF low voltage'
tofp, East1, tof, 'TOF low voltage east 1'
tofp, East2, tof, 'TOF low voltage east 2'
tofp, West5, tof, 'TOF low voltage west 5'
tofp, East4, tof, 'TOF low voltage east 4'
tofp, West3, tof, 'TOF low voltage west 3'
etof-cr, HVIOC, etof, 'eTOF high voltage'
etof-cr, Flag, etof, 'eTOF'
etof-cr, LV_mon, etof, 'eTOF low voltage'
mtd-cr, THUB, mtd, 'MTD THUBs low voltage'
mtd-cr, MTD2, mtd, 'MTD LV for backlegs 7-13 & 24'
mtd-cr, HVIOC, mtd, 'MTD high voltage'
mtd-cr, MTD1, mtd, 'MTD LV for backlegs 25-30 & 1-6'
mtd-cr, MTD3, mtd, 'MTD LV for backlegs 14-22'

